#{"t_start": 1778607521.903582, "env_id": "None"}
r,l,t
-0.9764,840,1.050211
-0.8804,840,2.036377
-0.4357,840,3.047571
-0.054,840,4.184772
-0.4112,840,5.299482
-0.384,840,6.490694
-0.3147,840,7.650446
-0.2927,840,8.936215
-0.2174,840,10.288491
-0.3602,840,11.580051
-0.1799,840,12.915803
-0.1496,840,19.760032
-0.3011,840,20.892798
-0.2286,840,22.021505
-0.1253,840,23.165708
-0.1024,840,24.223659
-0.2879,840,25.187872
-0.1783,840,26.212075
-0.5176,840,27.241324
-0.0596,840,28.237479
-0.1857,840,29.33925
-0.1126,840,30.399941
-0.119,840,31.471675
-0.1097,840,38.438501
-0.2769,840,39.505259
-0.0956,840,40.552438
-0.1571,840,41.560616
-0.2163,840,42.589324
-0.0892,840,43.745051
-0.0186,840,44.805766
-0.0095,840,46.179094
-0.09,840,47.545926
-0.0249,840,48.751719
-0.1007,840,49.796923
-0.23,840,50.818584
-0.0609,840,57.383892
-0.0714,840,58.434085
-0.0333,840,59.779392
-0.0861,840,60.879103
-0.0905,840,62.010793
-0.0705,840,63.003955
-0.0394,840,64.068174
-0.1155,840,65.177908
-0.0958,840,66.33965
-0.0378,840,67.622437
-0.0613,840,68.983747
-0.0592,840,70.230025
-0.0571,840,77.542625
-0.0123,840,78.690828
-0.0064,840,79.9581
-0.0731,840,81.054818
-0.0641,840,82.181047
-0.05,840,83.201271
-0.0185,840,84.526017
-0.0324,840,85.656773
-0.0099,840,86.693395
-0.0197,840,87.708618
-0.0197,840,88.868325
-0.0349,840,90.062573
-0.0926,840,97.810264
-0.1217,840,99.466628
-0.0585,840,100.66187
-0.0329,840,101.702575
-0.1868,840,102.747801
-0.0613,840,103.824073
-0.0617,840,104.977823
-0.0783,840,106.11803
-0.0104,840,107.266283
-0.1034,840,108.473517
-0.0584,840,109.583251
-0.039,840,110.666448
-0.1155,840,117.559094
-0.1146,840,118.594806
-0.0336,840,119.649029
-0.107,840,120.770769
-0.0414,840,122.145058
-0.012,840,123.362285
-0.0483,840,124.711585
-0.0241,840,125.909847
-0.0437,840,127.046607
-0.0181,840,128.201865
-0.0048,840,129.535639
-0.0268,840,130.68594
