step,episode,ep_return,ep_length,epsilon,avg_loss,buffer_size,learn_steps,wall_time_s
1000,1,-0.5325999999999977,350,0.981,0.009580750949680805,1000,1,0.045516014099121094
2000,3,-0.1283000000000007,72,0.962,0.0026180241959518754,2000,1001,3.5440261363983154
3000,4,-0.806499999999998,464,0.9430000000000001,0.0006096042719000252,3000,2001,8.299459457397461
4000,6,-0.38629999999999454,268,0.924,0.0001964850276708603,4000,3001,13.288395166397095
5000,7,-0.8918999999999901,572,0.905,0.00011068497704036417,5000,4001,18.302083492279053
6000,9,-0.3168999999999805,238,0.886,8.054371533944505e-05,6000,5001,22.53375267982483
7000,10,-0.9355000000000014,509,0.867,5.6415907416521807e-05,7000,6001,24.4691379070282
8000,12,-0.5625000000000128,353,0.848,0.00013276885345840127,8000,7001,26.45348286628723
9000,14,0.0,0,0.829,6.502630964860145e-05,9000,8001,28.464856147766113
10000,15,-0.4607000000000145,324,0.81,7.030007473622391e-05,10000,9001,30.48224973678589
11000,16,-0.9307999999999813,603,0.791,2.9082534695589858e-05,11000,10001,37.28005337715149
12000,18,-0.16319999999999873,125,0.772,2.7239319410909957e-05,12000,11001,40.02108669281006
13000,19,-0.5810000000000078,404,0.753,3.126730686153678e-05,13000,12001,42.89601945877075
14000,21,-0.04899999999999889,24,0.734,2.74481295532496e-05,14000,13001,48.05439877510071
15000,22,-0.353400000000011,307,0.7150000000000001,1.9659553758174297e-05,15000,14001,53.45096182823181
16000,23,-0.6655000000000088,467,0.696,2.118286939776226e-05,16000,15001,58.82573437690735
17000,25,-0.03839999999999883,19,0.677,2.1377778278292682e-05,17000,16001,64.49570608139038
18000,26,-0.2534999999999949,210,0.658,1.85899966118086e-05,18000,17001,69.94514036178589
19000,27,-0.5843999999999913,459,0.639,1.6712852441742142e-05,19000,18001,75.77447867393494
20000,28,-0.8106000000000039,672,0.62,1.3679785760814412e-05,20000,19001,81.60593032836914
21000,30,-0.04950000000000005,68,0.601,1.2377430009109958e-05,21000,20001,94.69857120513916
22000,31,-0.2408000000000081,228,0.5820000000000001,9.655959017436544e-06,22000,21001,97.80805110931396
23000,32,-0.40749999999997966,388,0.563,9.215414307391257e-06,23000,22001,99.72946119308472
24000,33,-0.6162999999999895,548,0.544,9.626137092254794e-06,24000,23001,101.3537814617157
25000,34,-0.8177000000000032,708,0.525,7.376963805654668e-06,25000,24001,103.0031590461731
26000,36,-0.028500000000005538,28,0.506,7.445488072221451e-06,26000,25001,104.75547933578491
27000,37,-0.19689999999999117,188,0.487,6.402712965041246e-06,27000,26001,107.19394397735596
28000,38,-0.3171999999999952,348,0.46799999999999997,5.064447140512129e-06,28000,27001,111.35961651802063
29000,39,-0.49079999999999624,508,0.44900000000000007,7.95785465982135e-06,29000,28001,117.32825112342834
30000,40,-0.5298000000000033,668,0.43000000000000005,5.746504496016769e-06,30000,29001,123.65294313430786
31000,41,-0.7027999999999887,828,0.41100000000000003,6.240982279678064e-06,31000,30001,136.36470794677734
32000,43,-0.0995000000000032,148,0.392,6.29175570679763e-06,32000,31001,141.27045607566833
