algo,seed,run_id,total_return,sharpe,sortino,max_dd_pct,n_trades,win_rate,exposure,final_equity
ddqn,42,m8_2025_hs_ddqn_seed42_steps200000,-0.11390000000000983,-0.9937992475346843,-1.4039193934200709,-0.3388227878023853,88,0.5,0.9988095238095238,8860.999999999902
ddqn,123,m8_2025_hs_ddqn_seed123_steps200000,0.0,0.0,0.0,0.0,0,0.0,0.0,10000.0
ddqn,2024,m8_2025_hs_ddqn_seed2024_steps200000,0.0,0.0,0.0,0.0,0,0.0,0.0,10000.0
ddqn_expdecay,42,m8_2025_hs_ddqn_expdecay_seed42_steps200000,-0.001199999999998545,-1.0212729265147404,-1.1487226107119588,-0.002496754219514084,4,0.5,8.116883116883117e-05,9988.000000000015
ddqn_expdecay,123,m8_2025_hs_ddqn_expdecay_seed123_steps200000,0.024600000000000365,2.4208397543577873,0.0,0.0,2,1.0,0.00013528138528138528,10246.000000000004
ddqn_expdecay,2024,m8_2025_hs_ddqn_expdecay_seed2024_steps200000,0.0,0.0,0.0,0.0,0,0.0,0.0,10000.0
a2c,42,m8_2025_hs_a2c_seed42_steps200000,-0.4568000000000181,-4.173092018763495,-5.469713102371481,-0.4472653268888518,794,0.4156769596199525,0.45100108225108226,5431.999999999819
a2c,123,m8_2025_hs_a2c_seed123_steps200000,-0.4238000000000084,-3.2526995779797954,-3.550740058834455,-0.5741119221411283,242,0.41333333333333333,0.9747294372294373,5761.999999999916
a2c,2024,m8_2025_hs_a2c_seed2024_steps200000,-0.330199999999978,-2.8092589179589886,-3.529106189008302,-0.499212337285452,485,0.5463576158940397,0.9938311688311688,6698.00000000022
ppo,42,m8_2025_hs_ppo_seed42_steps200000,-0.12039999999999272,-1.0786832743935768,-1.359841716561111,-0.30111803913136675,164,0.4268292682926829,0.9863906926406927,8796.000000000073
ppo,123,m8_2025_hs_ppo_seed123_steps200000,-0.5019999999999983,-4.828955394462803,-5.402491945476623,-0.5862032312925175,101,0.36363636363636365,0.9987554112554112,4980.000000000016
ppo,2024,m8_2025_hs_ppo_seed2024_steps200000,-0.7179499999999874,-5.473158326430891,-5.774481697257319,-0.7475448536354938,208,0.34710743801652894,0.997564935064935,2820.5000000001255
