number,value,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_n_steps,params_vf_coef,user_attrs_exposure_time,user_attrs_final_equity,user_attrs_max_drawdown_pct,user_attrs_n_trades,user_attrs_run_id,user_attrs_total_return,user_attrs_total_transaction_cost,user_attrs_win_rate,state,datetime_start,datetime_complete
0,-9.128799145589502,0.0009846738873614568,0.8733991780504303,0.9724674002393291,0.0001329291894316216,96,0.24041677639819287,0.9752678571428571,-1324.9999999997608,-1.1641041101396625,479,optuna_a2c_t000,-1.132499999999976,9830.0,0.18548387096774194,COMPLETE,2026-05-15 09:32:25.406966,2026-05-15 09:37:06.479184
1,-70.94344345505263,0.0034702669886504172,0.9954864778242991,0.9595103861625777,1.493656855461762e-05,88,0.1185260448662222,0.6934821428571428,-48426.0,-6.794663156635151,2792,optuna_a2c_t001,-5.8426,58796.0,0.16846361185983827,COMPLETE,2026-05-15 09:37:06.529757,2026-05-15 09:41:45.696651
2,-73.68989283912381,8.260808399079606e-06,0.9287134647448356,0.918000671753503,0.00314288089084011,25,0.373818018663584,0.3233035714285714,-55129.99999999968,-7.497348261638073,3438,optuna_a2c_t002,-6.512999999999968,70735.0,0.03691275167785235,COMPLETE,2026-05-15 09:41:45.719172,2026-05-15 09:46:35.625404
3,-45.948383293862534,4.982752357076453e-06,0.9049542764940537,0.9605734365775156,0.00019762189340280086,32,0.3629301836816964,0.8250595238095239,-16660.999999999673,-2.801383933398171,1505,optuna_a2c_t003,-2.6660999999999673,32799.0,0.2539298669891173,COMPLETE,2026-05-15 09:46:35.648401,2026-05-15 09:50:34.812447
4,-15.379186543346263,0.0003725393839578887,0.8569675619079996,0.9197677044336776,0.00023345864076016249,80,0.6331731119758383,0.049166666666666664,-13319.999999999909,-2.411315956770495,1070,optuna_a2c_t004,-2.331999999999991,21596.0,0.054844606946983544,COMPLETE,2026-05-15 09:50:34.837443,2026-05-15 09:54:47.160345
5,-19.585063046871422,0.055517216852447225,0.9712596022174692,0.9064401077055427,0.0006647135865318024,21,0.9690688297671034,0.7853869047619048,-49889.00000000067,-8.086505681818254,2731,optuna_a2c_t005,-5.988900000000067,58218.0,0.10968178740690589,COMPLETE,2026-05-15 09:54:47.183369,2026-05-15 09:59:08.411597
6,-7.122972987783083,0.00015876781526924017,0.9242765365166905,0.9677390696247036,8.200518402245828e-05,14,0.20983441136030095,0.43226190476190474,4153.999999999916,-0.5909807010634194,216,optuna_a2c_t006,-0.5846000000000083,4383.0,0.2972972972972973,COMPLETE,2026-05-15 09:59:08.438591,2026-05-15 10:03:47.010185
7,-24.28596195166496,0.002054051942538846,0.9280102031766716,0.9256192181784016,1.2681352169084594e-05,92,0.3805399684804699,0.795327380952381,-20254.99999999998,-3.184298501024471,1310,optuna_a2c_t007,-3.0254999999999983,30681.0,0.1932555123216602,COMPLETE,2026-05-15 10:03:47.032176,2026-05-15 10:08:50.811715
8,-23.78381516403755,0.0075104181387775516,0.9842241025641474,0.9959888781486913,0.00043664735929796326,22,0.9455490474077702,0.8969940476190477,-29641.00000000019,-4.563476797307019,1784,optuna_a2c_t008,-3.964100000000019,40840.0,0.23091787439613526,COMPLETE,2026-05-15 10:08:50.832698,2026-05-15 10:12:32.537320
9,-25.234819912632727,9.548041810464176e-06,0.8987995496144896,0.90876075770314,0.0006218704727769079,93,0.14070456001948428,0.08985119047619047,-18107.99999999996,-3.0279986560645087,1268,optuna_a2c_t009,-2.810799999999996,26203.0,0.08258258258258258,COMPLETE,2026-05-15 10:12:32.566336,2026-05-15 10:15:51.889102
