number,value,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_n_epochs,params_n_steps,params_vf_coef,user_attrs_exposure_time,user_attrs_final_equity,user_attrs_max_drawdown_pct,user_attrs_n_trades,user_attrs_run_id,user_attrs_total_return,user_attrs_total_transaction_cost,user_attrs_win_rate,state,datetime_start,datetime_complete
0,-16.851276428991653,128,0.389468448256698,0.014528246637516038,0.8363649934414201,0.9020378649352845,0.0001329291894316216,15,256,0.29110519961044856,0.5989285714285715,5166.999999999982,-0.4395878524945781,248,optuna_ppo_t000,-0.48330000000000184,4454.0,0.2903225806451613,COMPLETE,2026-05-13 10:18:01.037915,2026-05-13 10:19:36.073783
1,-28.821866528454194,32,0.11988582375542592,0.0003725393839578887,0.8092900825439996,0.9777324201779083,3.5498788321965036e-05,11,512,0.6331731119758383,0.6366071428571428,-8924.999999999827,-2.0569635243960085,810,optuna_ppo_t001,-1.8924999999999825,16867.0,0.18105263157894738,COMPLETE,2026-05-13 10:19:36.086783,2026-05-13 10:21:38.710016
2,-12.52281391736008,32,0.2233119185389446,1.485739280627925e-06,0.8517559963200034,0.9120817852496331,0.0006647135865318024,10,2048,0.9183883618709039,0.8492261904761905,3356.999999999969,-0.5991163123955144,328,optuna_ppo_t002,-0.6643000000000031,6184.0,0.3050847457627119,COMPLETE,2026-05-13 10:21:38.888169,2026-05-13 10:23:40.093709
3,-18.331331114435276,32,0.08097237571817183,9.548041810464176e-06,0.8650660661526529,0.9912655492672886,0.0009717775305059633,13,1024,0.14070456001948428,0.2736904761904762,2220.9999999998854,-0.7540965456155997,520,optuna_ppo_t003,-0.7779000000000115,9317.0,0.2835820895522388,COMPLETE,2026-05-13 10:23:40.104708,2026-05-13 10:25:55.059975
4,-8.63322955513259,128,0.11955048853696035,1.0656401760606457e-06,0.9413714687695234,0.976452232160369,0.00014656553886225324,20,512,0.8339152856093507,0.9948809523809524,6696.999999999956,-0.29297411516112,179,optuna_ppo_t004,-0.33030000000000437,3859.0,0.47706422018348627,COMPLETE,2026-05-13 10:25:55.115652,2026-05-13 10:27:30.836298
5,-39.10683990979464,32,0.3053621624183224,0.001540945776288156,0.8944429850323898,0.932193148880648,0.0015382308040279,8,256,0.8984914683186939,0.8892857142857142,-14679.999999999929,-2.5677061085006327,1197,optuna_ppo_t005,-2.467999999999993,23284.0,0.14175654853620956,COMPLETE,2026-05-13 10:27:30.850299,2026-05-13 10:29:22.316045
6,-33.18544556773039,64,0.27274364394232314,3.730610475453592e-05,0.9815132947852186,0.9031114893829867,2.284455685002053e-05,4,2048,0.5577136220482325,0.6577380952380952,1679.9999999997372,-0.830815709969815,556,optuna_ppo_t006,-0.8320000000000262,10056.0,0.3357142857142857,COMPLETE,2026-05-13 10:29:22.329568,2026-05-13 10:30:42.317896
7,-51.25622717453361,128,0.3312852269146901,8.56742466787506e-06,0.9078684483831302,0.9862745984285841,5.59598687800608e-05,14,512,0.90330309864098,0.9883333333333333,-25706.999999999796,-4.253227031131359,1071,optuna_ppo_t007,-3.5706999999999796,31840.0,0.135498320268757,COMPLETE,2026-05-13 10:30:42.330881,2026-05-13 10:32:09.999004
8,-20.55717778547894,128,0.1277377336647556,3.974905761171864e-06,0.9885819407825038,0.9413236893117292,0.0026443593078398627,12,256,0.40385365426326514,0.9794642857142857,3706.0000000001005,-0.5936849029711527,290,optuna_ppo_t008,-0.62939999999999,5272.0,0.2119205298013245,COMPLETE,2026-05-13 10:32:10.012030,2026-05-13 10:33:35.690539
9,-21.19419929893664,32,0.26334751689296393,0.00032613327839065595,0.8557292928473224,0.9036518077880987,9.324140221663475e-05,8,2048,0.14633087612499043,0.48410714285714285,3562.000000000062,-0.6107954545454469,309,optuna_ppo_t009,-0.6437999999999938,5529.0,0.3375796178343949,COMPLETE,2026-05-13 10:33:35.702538,2026-05-13 10:35:25.728067
