#{"t_start": 1778608739.3276134, "env_id": "None"}
r,l,t
-1.0009,687,0.799172
-1.0034,616,1.468852
-1.0007,687,2.098958
-1.0004,668,3.584717
-1.0001,607,3.953792
-1.0008,611,4.296357
-1.0023,627,5.823153
-1.0025,646,6.210209
-1.0002,596,6.612305
-1.0033,605,8.219603
-1.0036,658,9.001783
-1.0006,703,9.521382
-1.0003,646,11.100689
-1.0009,767,11.58131
-1.0032,709,12.001377
-1.0032,718,18.598039
-1.0017,727,19.034645
-1.0008,668,19.400191
-1.0014,657,21.384588
-1.0001,812,21.941697
-1.0022,738,22.40677
-1.0002,835,24.144092
-0.9992,840,24.834746
-1.0001,829,26.52105
-1.0002,793,27.320211
-0.9184,840,27.863318
-0.7766,840,29.39511
-0.8609,840,29.948252
-0.7183,840,38.370416
-0.7552,840,38.927041
-0.6338,840,39.647087
-0.5985,840,41.322391
-0.6859,840,41.924526
-0.4749,840,43.317643
-0.7047,840,44.026512
-0.518,840,45.870422
-0.5754,840,46.431548
-0.4418,840,46.979162
-0.3923,840,48.433989
-0.3774,840,56.391061
-0.4287,840,58.111919
-0.3822,840,58.660067
-0.3952,840,59.226689
-0.2971,840,61.064625
-0.4684,840,61.82727
-0.3395,840,63.836196
-0.2674,840,64.53885
-0.2753,840,65.054474
-0.2869,840,66.612272
-0.1994,840,67.096877
-0.2114,840,68.520616
-0.1958,840,75.862652
-0.1847,840,77.683011
-0.1654,840,78.457176
-0.1196,840,79.558933
-0.1147,840,82.125063
-0.1599,840,83.010735
-0.1231,840,85.661774
-0.1321,840,86.438403
-0.1846,840,87.797617
-0.1413,840,89.803037
-0.0673,840,90.820242
-0.1576,840,92.964688
-0.0565,840,99.736473
-0.0443,840,100.339132
-0.1074,840,101.892393
-0.0514,840,102.399766
-0.0732,840,104.045564
0.0531,840,104.736693
0.0195,840,105.289836
0.0082,840,107.196697
-0.0095,840,107.733281
-0.0045,840,109.622162
0.0034,840,110.408336
-0.0135,840,112.002661
-0.09,840,119.836345
-0.0557,840,120.386455
0.0091,840,122.159801
-0.0351,840,122.942483
-0.1004,840,124.891885
0.0078,840,125.476675
-0.0572,840,126.071818
-0.0143,840,127.672081
0.0142,840,128.193671
0.0085,840,129.9284
-0.0663,840,130.573033
-0.0423,840,131.270649
0.0049,840,138.433492
-0.0031,840,138.907087
0.0927,840,140.586966
0.0395,840,141.237108
0.0063,840,143.383559
-0.04,840,143.963677
-0.0044,840,144.549264
-0.0041,840,146.337606
