session_day,time_utc,time_local,bar_idx_in_day,action,current_position,close,spread,raw_pnl,transaction_cost,net_pnl,mtm_pnl,equity,forced_close
2024-12-02,2024-12-02 03:00:00+00:00,2024-12-02 10:00:00+07:00,60,1,0,1.05372,18,0.0,0.0,0.0,0.0,10000.0,False
2024-12-02,2024-12-02 03:01:00+00:00,2024-12-02 10:01:00+07:00,61,1,0,1.0538,19,0.0,0.0,0.0,0.0,10000.0,False
2024-12-02,2024-12-02 03:02:00+00:00,2024-12-02 10:02:00+07:00,62,1,0,1.05349,19,-0.0,0.0,-0.0,-0.0,10000.0,False
2024-12-02,2024-12-02 03:03:00+00:00,2024-12-02 10:03:00+07:00,63,1,0,1.05352,18,0.0,0.0,0.0,0.0,10000.0,False
2024-12-02,2024-12-02 03:04:00+00:00,2024-12-02 10:04:00+07:00,64,1,0,1.05347,18,-0.0,0.0,-0.0,-0.0,10000.0,False
2024-12-02,2024-12-02 03:05:00+00:00,2024-12-02 10:05:00+07:00,65,1,0,1.05317,18,-0.0,0.0,-0.0,-0.0,10000.0,False
2024-12-02,2024-12-02 03:06:00+00:00,2024-12-02 10:06:00+07:00,66,1,0,1.05306,18,-0.0,0.0,-0.0,-0.0,10000.0,False
2024-12-02,2024-12-02 03:07:00+00:00,2024-12-02 10:07:00+07:00,67,1,0,1.05327,18,0.0,0.0,0.0,0.0,10000.0,False
2024-12-02,2024-12-02 03:08:00+00:00,2024-12-02 10:08:00+07:00,68,1,0,1.0533,18,0.0,0.0,0.0,0.0,10000.0,False
2024-12-02,2024-12-02 03:09:00+00:00,2024-12-02 10:09:00+07:00,69,1,0,1.0533,19,0.0,0.0,0.0,0.0,10000.0,False
2024-12-02,2024-12-02 03:10:00+00:00,2024-12-02 10:10:00+07:00,70,1,0,1.05339,17,0.0,0.0,0.0,0.0,10000.0,False
2024-12-02,2024-12-02 03:11:00+00:00,2024-12-02 10:11:00+07:00,71,1,0,1.05334,17,-0.0,0.0,-0.0,-0.0,10000.0,False
2024-12-02,2024-12-02 03:12:00+00:00,2024-12-02 10:12:00+07:00,72,1,0,1.05325,18,-0.0,0.0,-0.0,-0.0,10000.0,False
2024-12-02,2024-12-02 03:13:00+00:00,2024-12-02 10:13:00+07:00,73,1,0,1.05328,19,0.0,0.0,0.0,0.0,10000.0,False
2024-12-02,2024-12-02 03:14:00+00:00,2024-12-02 10:14:00+07:00,74,1,0,1.053,18,-0.0,0.0,-0.0,-0.0,10000.0,False
2024-12-02,2024-12-02 03:15:00+00:00,2024-12-02 10:15:00+07:00,75,1,0,1.05304,18,0.0,0.0,0.0,0.0,10000.0,False
2024-12-02,2024-12-02 03:16:00+00:00,2024-12-02 10:16:00+07:00,76,1,0,1.05304,19,0.0,0.0,0.0,0.0,10000.0,False
2024-12-02,2024-12-02 03:17:00+00:00,2024-12-02 10:17:00+07:00,77,1,0,1.05303,18,-0.0,0.0,-0.0,-0.0,10000.0,False
2024-12-02,2024-12-02 03:18:00+00:00,2024-12-02 10:18:00+07:00,78,1,0,1.05293,19,-0.0,0.0,-0.0,-0.0,10000.0,False
2024-12-02,2024-12-02 03:19:00+00:00,2024-12-02 10:19:00+07:00,79,1,0,1.05281,17,-0.0,0.0,-0.0,-0.0,10000.0,False
2024-12-02,2024-12-02 03:20:00+00:00,2024-12-02 10:20:00+07:00,80,1,0,1.0529,19,0.0,0.0,0.0,0.0,10000.0,False
2024-12-02,2024-12-02 03:21:00+00:00,2024-12-02 10:21:00+07:00,81,1,0,1.05279,19,-0.0,0.0,-0.0,-0.0,10000.0,False
2024-12-02,2024-12-02 03:22:00+00:00,2024-12-02 10:22:00+07:00,82,1,0,1.0528,17,0.0,0.0,0.0,0.0,10000.0,False
2024-12-02,2024-12-02 03:23:00+00:00,2024-12-02 10:23:00+07:00,83,1,0,1.05278,18,-0.0,0.0,-0.0,-0.0,10000.0,False
2024-12-02,2024-12-02 03:24:00+00:00,2024-12-02 10:24:00+07:00,84,1,0,1.05287,18,0.0,0.0,0.0,0.0,10000.0,False
2024-12-02,2024-12-02 03:25:00+00:00,2024-12-02 10:25:00+07:00,85,1,0,1.05284,19,-0.0,0.0,-0.0,-0.0,10000.0,False
2024-12-02,2024-12-02 03:26:00+00:00,2024-12-02 10:26:00+07:00,86,1,0,1.05285,19,0.0,0.0,0.0,0.0,10000.0,False
2024-12-02,2024-12-02 03:27:00+00:00,2024-12-02 10:27:00+07:00,87,1,0,1.05291,19,0.0,0.0,0.0,0.0,10000.0,False
2024-12-02,2024-12-02 03:28:00+00:00,2024-12-02 10:28:00+07:00,88,1,0,1.05286,19,-0.0,0.0,-0.0,-0.0,10000.0,False
2024-12-02,2024-12-02 03:29:00+00:00,2024-12-02 10:29:00+07:00,89,1,0,1.0529,19,0.0,0.0,0.0,0.0,10000.0,False
2024-12-02,2024-12-02 03:30:00+00:00,2024-12-02 10:30:00+07:00,90,1,0,1.05303,18,0.0,0.0,0.0,0.0,10000.0,False
2024-12-02,2024-12-02 03:31:00+00:00,2024-12-02 10:31:00+07:00,91,1,0,1.05314,18,0.0,0.0,0.0,0.0,10000.0,False
2024-12-02,2024-12-02 03:32:00+00:00,2024-12-02 10:32:00+07:00,92,1,0,1.05297,19,-0.0,0.0,-0.0,-0.0,10000.0,False
2024-12-02,2024-12-02 03:33:00+00:00,2024-12-02 10:33:00+07:00,93,1,0,1.05302,19,0.0,0.0,0.0,0.0,10000.0,False
2024-12-02,2024-12-02 03:34:00+00:00,2024-12-02 10:34:00+07:00,94,1,0,1.05309,19,0.0,0.0,0.0,0.0,10000.0,False
2024-12-02,2024-12-02 03:35:00+00:00,2024-12-02 10:35:00+07:00,95,1,0,1.0533,19,0.0,0.0,0.0,0.0,10000.0,False
2024-12-02,2024-12-02 03:36:00+00:00,2024-12-02 10:36:00+07:00,96,1,0,1.05324,19,-0.0,0.0,-0.0,-0.0,10000.0,False
2024-12-02,2024-12-02 03:37:00+00:00,2024-12-02 10:37:00+07:00,97,1,0,1.05321,18,-0.0,0.0,-0.0,-0.0,10000.0,False
2024-12-02,2024-12-02 03:38:00+00:00,2024-12-02 10:38:00+07:00,98,1,0,1.05324,19,0.0,0.0,0.0,0.0,10000.0,False
2024-12-02,2024-12-02 03:39:00+00:00,2024-12-02 10:39:00+07:00,99,1,0,1.05323,19,-0.0,0.0,-0.0,-0.0,10000.0,False
2024-12-02,2024-12-02 03:40:00+00:00,2024-12-02 10:40:00+07:00,100,1,0,1.05332,19,0.0,0.0,0.0,0.0,10000.0,False
2024-12-02,2024-12-02 03:41:00+00:00,2024-12-02 10:41:00+07:00,101,1,0,1.05332,20,0.0,0.0,0.0,0.0,10000.0,False
2024-12-02,2024-12-02 03:42:00+00:00,2024-12-02 10:42:00+07:00,102,1,0,1.05334,19,0.0,0.0,0.0,0.0,10000.0,False
2024-12-02,2024-12-02 03:43:00+00:00,2024-12-02 10:43:00+07:00,103,1,0,1.05334,18,0.0,0.0,0.0,0.0,10000.0,False
2024-12-02,2024-12-02 03:44:00+00:00,2024-12-02 10:44:00+07:00,104,1,0,1.05338,18,0.0,0.0,0.0,0.0,10000.0,False
2024-12-02,2024-12-02 03:45:00+00:00,2024-12-02 10:45:00+07:00,105,1,0,1.05338,18,0.0,0.0,0.0,0.0,10000.0,False
2024-12-02,2024-12-02 03:46:00+00:00,2024-12-02 10:46:00+07:00,106,1,0,1.05325,19,-0.0,0.0,-0.0,-0.0,10000.0,False
2024-12-02,2024-12-02 03:47:00+00:00,2024-12-02 10:47:00+07:00,107,1,0,1.05326,19,0.0,0.0,0.0,0.0,10000.0,False
2024-12-02,2024-12-02 03:48:00+00:00,2024-12-02 10:48:00+07:00,108,1,0,1.05325,19,-0.0,0.0,-0.0,-0.0,10000.0,False
2024-12-02,2024-12-02 03:49:00+00:00,2024-12-02 10:49:00+07:00,109,1,0,1.05319,18,-0.0,0.0,-0.0,-0.0,10000.0,False
2024-12-02,2024-12-02 03:50:00+00:00,2024-12-02 10:50:00+07:00,110,1,0,1.05307,18,-0.0,0.0,-0.0,-0.0,10000.0,False
2024-12-02,2024-12-02 03:51:00+00:00,2024-12-02 10:51:00+07:00,111,1,0,1.05319,19,0.0,0.0,0.0,0.0,10000.0,False
2024-12-02,2024-12-02 03:52:00+00:00,2024-12-02 10:52:00+07:00,112,1,0,1.05307,19,-0.0,0.0,-0.0,-0.0,10000.0,False
2024-12-02,2024-12-02 03:53:00+00:00,2024-12-02 10:53:00+07:00,113,1,0,1.05308,19,0.0,0.0,0.0,0.0,10000.0,False
2024-12-02,2024-12-02 03:54:00+00:00,2024-12-02 10:54:00+07:00,114,1,0,1.05307,20,-0.0,0.0,-0.0,-0.0,10000.0,False
2024-12-02,2024-12-02 03:55:00+00:00,2024-12-02 10:55:00+07:00,115,1,0,1.05304,19,-0.0,0.0,-0.0,-0.0,10000.0,False
2024-12-02,2024-12-02 03:56:00+00:00,2024-12-02 10:56:00+07:00,116,1,0,1.05299,19,-0.0,0.0,-0.0,-0.0,10000.0,False
2024-12-02,2024-12-02 03:57:00+00:00,2024-12-02 10:57:00+07:00,117,1,0,1.05299,19,0.0,0.0,0.0,0.0,10000.0,False
2024-12-02,2024-12-02 03:58:00+00:00,2024-12-02 10:58:00+07:00,118,1,0,1.05292,19,-0.0,0.0,-0.0,-0.0,10000.0,False
2024-12-02,2024-12-02 03:59:00+00:00,2024-12-02 10:59:00+07:00,119,1,0,1.05294,19,0.0,0.0,0.0,0.0,10000.0,False
2024-12-02,2024-12-02 04:00:00+00:00,2024-12-02 11:00:00+07:00,120,1,0,1.05303,18,0.0,0.0,0.0,0.0,10000.0,False
2024-12-02,2024-12-02 04:01:00+00:00,2024-12-02 11:01:00+07:00,121,1,0,1.05294,20,-0.0,0.0,-0.0,-0.0,10000.0,False
2024-12-02,2024-12-02 04:02:00+00:00,2024-12-02 11:02:00+07:00,122,1,0,1.05298,18,0.0,0.0,0.0,0.0,10000.0,False
2024-12-02,2024-12-02 04:03:00+00:00,2024-12-02 11:03:00+07:00,123,1,0,1.05292,20,-0.0,0.0,-0.0,-0.0,10000.0,False
2024-12-02,2024-12-02 04:04:00+00:00,2024-12-02 11:04:00+07:00,124,1,0,1.05292,19,0.0,0.0,0.0,0.0,10000.0,False
2024-12-02,2024-12-02 04:05:00+00:00,2024-12-02 11:05:00+07:00,125,1,0,1.05279,18,-0.0,0.0,-0.0,-0.0,10000.0,False
2024-12-02,2024-12-02 04:06:00+00:00,2024-12-02 11:06:00+07:00,126,1,0,1.05261,19,-0.0,0.0,-0.0,-0.0,10000.0,False
2024-12-02,2024-12-02 04:07:00+00:00,2024-12-02 11:07:00+07:00,127,1,0,1.05263,19,0.0,0.0,0.0,0.0,10000.0,False
2024-12-02,2024-12-02 04:08:00+00:00,2024-12-02 11:08:00+07:00,128,1,0,1.05265,20,0.0,0.0,0.0,0.0,10000.0,False
2024-12-02,2024-12-02 04:09:00+00:00,2024-12-02 11:09:00+07:00,129,1,0,1.0525,20,-0.0,0.0,-0.0,-0.0,10000.0,False
2024-12-02,2024-12-02 04:10:00+00:00,2024-12-02 11:10:00+07:00,130,1,0,1.0525,19,0.0,0.0,0.0,0.0,10000.0,False
2024-12-02,2024-12-02 04:11:00+00:00,2024-12-02 11:11:00+07:00,131,1,0,1.05249,17,-0.0,0.0,-0.0,-0.0,10000.0,False
